Data,Ano,Mes,Dia,Hora,Fonte_Meteo,T2M_C,RH2M_pct,WS10M_ms,PS_kPa,GHI_Wh_m2,Fonte_Irradiancia,60CEL_Tcel_C,60CEL_FatorTemp,60CEL_Pdc_W,60CEL_Preal_W,72CEL_Tcel_C,72CEL_FatorTemp,72CEL_Pdc_W,72CEL_Preal_W,MODERNO_Tcel_C,MODERNO_FatorTemp,MODERNO_Pdc_W,MODERNO_Preal_W
2025-05-01,2025,5,1,0,NASA_POWER_HISTORICO,21.1,79.177,3.38,90.57,0,MEDIDA_NASA_POWER,21.1,1.0156,0,0,21.1,1.0156,0,0,21.1,1.0156,0,0
2025-05-01,2025,5,1,1,NASA_POWER_HISTORICO,20.53,81.724,3.38,90.59,0,MEDIDA_NASA_POWER,20.53,1.01788,0,0,20.53,1.01788,0,0,20.53,1.01788,0,0
2025-05-01,2025,5,1,2,NASA_POWER_HISTORICO,20.05,84,3.29,90.59,0,MEDIDA_NASA_POWER,20.05,1.0198,0,0,20.05,1.0198,0,0,20.05,1.0198,0,0
2025-05-01,2025,5,1,3,NASA_POWER_HISTORICO,19.68,85.67,3.11,90.56,0,MEDIDA_NASA_POWER,19.68,1.02128,0,0,19.68,1.02128,0,0,19.68,1.02128,0,0
2025-05-01,2025,5,1,4,NASA_POWER_HISTORICO,19.25,87.503,2.87,90.52,0,MEDIDA_NASA_POWER,19.25,1.023,0,0,19.25,1.023,0,0,19.25,1.023,0,0
2025-05-01,2025,5,1,5,NASA_POWER_HISTORICO,18.76,89.594,2.67,90.49,0,MEDIDA_NASA_POWER,18.76,1.02496,0,0,18.76,1.02496,0,0,18.76,1.02496,0,0
2025-05-01,2025,5,1,6,NASA_POWER_HISTORICO,18.25,91.526,2.55,90.47,0,MEDIDA_NASA_POWER,18.25,1.027,0,0,18.25,1.027,0,0,18.25,1.027,0,0
2025-05-01,2025,5,1,7,NASA_POWER_HISTORICO,17.8,93.239,2.5,90.47,0,MEDIDA_NASA_POWER,17.8,1.0288,0,0,17.8,1.0288,0,0,17.8,1.0288,0,0
2025-05-01,2025,5,1,8,NASA_POWER_HISTORICO,17.48,94.454,2.51,90.5,0,MEDIDA_NASA_POWER,17.48,1.03008,0,0,17.48,1.03008,0,0,17.48,1.03008,0,0
2025-05-01,2025,5,1,9,NASA_POWER_HISTORICO,17.46,94.769,2.6,90.55,9.88,MEDIDA_NASA_POWER,17.76875,1.028925,3.65968044,2.927744352,17.76875,1.028925,4.47294276,3.578354208,17.76875,1.028925,6.933061278,5.5464490224
2025-05-01,2025,5,1,10,NASA_POWER_HISTORICO,19.98,83.524,4.01,90.61,102.6,MEDIDA_NASA_POWER,23.18625,1.007255,37.20397068,29.763176544,23.18625,1.007255,45.47151972,36.377215776,23.18625,1.007255,70.480855566,56.3846844528
2025-05-01,2025,5,1,11,NASA_POWER_HISTORICO,23.41,69.719,4.94,90.67,212.93,MEDIDA_NASA_POWER,30.0640625,0.97974375,75.1020612075,60.081648966,30.0640625,0.97974375,91.7914081425,73.433126514,30.0640625,0.97974375,142.276682620875,113.8213460967
2025-05-01,2025,5,1,12,NASA_POWER_HISTORICO,25.8,62.411,4.76,90.71,320.7,MEDIDA_NASA_POWER,35.821875,0.9567125,110.45437155,88.36349724,35.821875,0.9567125,134.99978745,107.99982996,35.821875,0.9567125,209.2496705475,167.399736438
2025-05-01,2025,5,1,13,NASA_POWER_HISTORICO,27.43,57.363,3.98,90.7,395.65,MEDIDA_NASA_POWER,39.7940625,0.94082375,134.0052900075,107.204232006,39.7940625,0.94082375,163.7842433425,131.027394674,39.7940625,0.94082375,253.865577180875,203.0924617447
2025-05-01,2025,5,1,14,NASA_POWER_HISTORICO,28.74,53.124,2.98,90.65,504.9,MEDIDA_NASA_POWER,44.518125,0.9219275,167.57323011,134.058584088,44.518125,0.9219275,204.81172569,163.849380552,44.518125,0.9219275,317.4581748195,253.9665398556
2025-05-01,2025,5,1,15,NASA_POWER_HISTORICO,29.68,49.868,2.08,90.58,622.55,MEDIDA_NASA_POWER,49.1346875,0.90346125,202.4819284275,161.985542742,49.1346875,0.90346125,247.4779125225,197.982330018,49.1346875,0.90346125,383.590764409875,306.8726115279
2025-05-01,2025,5,1,16,NASA_POWER_HISTORICO,30.11,47.638,1.54,90.5,668.75,MEDIDA_NASA_POWER,51.0084375,0.89596625,215.7038746875,172.56309975,51.0084375,0.89596625,263.6380690625,210.91045525,51.0084375,0.89596625,408.639007046875,326.9112056375
2025-05-01,2025,5,1,17,NASA_POWER_HISTORICO,30.16,46.235,1.51,90.44,587.3,MEDIDA_NASA_POWER,48.513125,0.9059475,191.54266803,153.234134424,48.513125,0.9059475,234.10770537,187.286164296,48.513125,0.9059475,362.8669433235,290.2935546588
2025-05-01,2025,5,1,18,NASA_POWER_HISTORICO,29.66,46.156,1.85,90.41,450.1,MEDIDA_NASA_POWER,43.725625,0.9250975,149.89909851,119.919278808,43.725625,0.9250975,183.21000929,146.568007432,43.725625,0.9250975,283.9755143995,227.1804115196
2025-05-01,2025,5,1,19,NASA_POWER_HISTORICO,28.7,48.173,2.19,90.42,242.23,MEDIDA_NASA_POWER,36.2696875,0.95492125,83.2718067795,66.6174454236,36.2696875,0.95492125,101.7766527305,81.4213221844,36.2696875,0.95492125,157.753811732275,126.20304938582
2025-05-01,2025,5,1,20,NASA_POWER_HISTORICO,26.41,64.094,1.81,90.45,46.28,MEDIDA_NASA_POWER,27.85625,0.988575,16.47045036,13.176360288,27.85625,0.988575,20.13055044,16.104440352,27.85625,0.988575,31.202353182,24.9618825456
2025-05-01,2025,5,1,21,NASA_POWER_HISTORICO,23.86,75.836,2.21,90.49,0,MEDIDA_NASA_POWER,23.86,1.00456,0,0,23.86,1.00456,0,0,23.86,1.00456,0,0
2025-05-01,2025,5,1,22,NASA_POWER_HISTORICO,23.14,75.568,2.43,90.55,0,MEDIDA_NASA_POWER,23.14,1.00744,0,0,23.14,1.00744,0,0,23.14,1.00744,0,0
2025-05-01,2025,5,1,23,NASA_POWER_HISTORICO,22.61,75.058,2.78,90.61,0,MEDIDA_NASA_POWER,22.61,1.00956,0,0,22.61,1.00956,0,0,22.61,1.00956,0,0
2025-05-02,2025,5,2,0,NASA_POWER_HISTORICO,22.21,75.931,3.54,90.66,0,MEDIDA_NASA_POWER,22.21,1.01116,0,0,22.21,1.01116,0,0,22.21,1.01116,0,0
2025-05-02,2025,5,2,1,NASA_POWER_HISTORICO,21.71,79.474,4.29,90.7,0,MEDIDA_NASA_POWER,21.71,1.01316,0,0,21.71,1.01316,0,0,21.71,1.01316,0,0
2025-05-02,2025,5,2,2,NASA_POWER_HISTORICO,21.02,84.468,4.56,90.71,0,MEDIDA_NASA_POWER,21.02,1.01592,0,0,21.02,1.01592,0,0,21.02,1.01592,0,0
2025-05-02,2025,5,2,3,NASA_POWER_HISTORICO,20.32,88.53,4.53,90.69,0,MEDIDA_NASA_POWER,20.32,1.01872,0,0,20.32,1.01872,0,0,20.32,1.01872,0,0
2025-05-02,2025,5,2,4,NASA_POWER_HISTORICO,19.65,92.166,4.2,90.64,0,MEDIDA_NASA_POWER,19.65,1.0214,0,0,19.65,1.0214,0,0,19.65,1.0214,0,0
2025-05-02,2025,5,2,5,NASA_POWER_HISTORICO,19.1,94.933,4.1,90.59,0,MEDIDA_NASA_POWER,19.1,1.0236,0,0,19.1,1.0236,0,0,19.1,1.0236,0,0
2025-05-02,2025,5,2,6,NASA_POWER_HISTORICO,18.79,96.075,4.23,90.54,0,MEDIDA_NASA_POWER,18.79,1.02484,0,0,18.79,1.02484,0,0,18.79,1.02484,0,0
2025-05-02,2025,5,2,7,NASA_POWER_HISTORICO,18.56,96.42,4.48,90.5,0,MEDIDA_NASA_POWER,18.56,1.02576,0,0,18.56,1.02576,0,0,18.56,1.02576,0,0
2025-05-02,2025,5,2,8,NASA_POWER_HISTORICO,18.31,96.548,4.56,90.53,0,MEDIDA_NASA_POWER,18.31,1.02676,0,0,18.31,1.02676,0,0,18.31,1.02676,0,0
2025-05-02,2025,5,2,9,NASA_POWER_HISTORICO,18.12,96.198,4.46,90.6,10.48,MEDIDA_NASA_POWER,18.4475,1.02621,3.871685088,3.0973480704,18.4475,1.02621,4.732059552,3.7856476416,18.4475,1.02621,7.3346923056,5.86775384448
2025-05-02,2025,5,2,10,NASA_POWER_HISTORICO,19.45,87.281,5.93,90.69,147.9,MEDIDA_NASA_POWER,24.071875,1.0037125,53.44166835,42.75333468,24.071875,1.0037125,65.31759465,52.25407572,24.071875,1.0037125,101.2422717075,80.993817366
2025-05-02,2025,5,2,11,NASA_POWER_HISTORICO,22.22,71.63,6.96,90.76,335.73,MEDIDA_NASA_POWER,32.7115625,0.96915375,117.1346358555,93.7077086844,32.7115625,0.96915375,143.1645549345,114.5316439476,32.7115625,0.96915375,221.905060148475,177.52404811878
2025-05-02,2025,5,2,12,NASA_POWER_HISTORICO,24.93,59.609,6.37,90.82,518.25,MEDIDA_NASA_POWER,41.1253125,0.93549875,174.5360017875,139.62880143,41.1253125,0.93549875,213.3217799625,170.65742397,41.1253125,0.93549875,330.648758941875,264.5190071535
2025-05-02,2025,5,2,13,NASA_POWER_HISTORICO,27.11,52.328,5.1,90.83,689.1,MEDIDA_NASA_POWER,48.644375,0.9054225,224.61359211,179.690873688,48.644375,0.9054225,274.52772369,219.622178952,48.644375,0.9054225,425.5179717195,340.4143773756
2025-05-02,2025,5,2,14,NASA_POWER_HISTORICO,28.66,47.641,3.8,90.79,726.53,MEDIDA_NASA_POWER,51.3640625,0.89454375,233.9686334475,187.174906758,51.3640625,0.89454375,285.9616631025,228.769330482,51.3640625,0.89454375,443.240577808875,354.5924622471
2025-05-02,2025,5,2,15,NASA_POWER_HISTORICO,29.56,44.742,2.83,90.72,702.72,MEDIDA_NASA_POWER,51.52,0.89392,226.143166464,180.9145331712,51.52,0.89392,276.397203456,221.1177627648,51.52,0.89392,428.4156653568,342.73253228544
2025-05-02,2025,5,2,16,NASA_POWER_HISTORICO,29.86,43.432,2.19,90.65,648.8,MEDIDA_NASA_POWER,50.135,0.89946,210.08507328,168.068058624,50.135,0.89946,256.77064512,205.416516096,50.135,0.89946,397.994499936,318.3955999488
